500	0.373700
1000	0.256700
1500	0.243500
2000	0.211700
2500	0.201600
3000	0.182800
3500	0.176500
4000	0.182700
4500	0.154000
5000	0.121800
5500	0.125400
6000	0.118500
6500	0.122400
7000	0.124400
7500	0.122600
8000	0.121500
8500	0.109900
9000	0.080000
9500	0.081700
10000	0.076500
10500	0.079800
11000	0.089200
11500	0.083900
12000	0.094300
12500	0.093600
13000	0.062700
13500	0.059700
14000	0.054600
14500	0.055600
15000	0.061400
15500	0.057000
16000	0.064100
16500	0.065400
17000	0.057600
17500	0.043200
18000	0.039600
18500	0.045300
19000	0.047500
19500	0.046200
20000	0.046900
20500	0.042700
21000	0.047000
21500	0.024200
22000	0.030600
22500	0.029900
23000	0.032900
23500	0.034200
24000	0.032100
24500	0.035800
25000	0.037900
25500	0.024900
26000	0.023400
26500	0.023900
27000	0.024700
27500	0.026500
28000	0.021000
28500	0.025700
29000	0.023600
29500	0.027200
30000	0.015900
30500	0.013100
31000	0.018700
31500	0.015500
32000	0.020900
32500	0.018600
33000	0.017200
33500	0.027700
34000	0.014300
34500	0.015800
35000	0.013600
35500	0.016400
36000	0.010900
36500	0.012800
37000	0.014800
37500	0.013400
38000	0.012900
38500	0.009400
39000	0.010400
39500	0.012400
40000	0.012800
40500	0.011300
41000	0.012300
41500	0.013600
42000	0.011900
